noise_level,lambda,image,psnr,ssim
0.05,0.017499999999999998,00003096.jpg,27.19174318371776,0.64991015
0.05,0.017499999999999998,00003148.jpg,23.87305823979851,0.6315194
0.05,0.017499999999999998,00003301.jpg,25.730317058848712,0.7295379
0.05,0.017499999999999998,00003534.jpg,29.484594250828433,0.8302562
0.05,0.017499999999999998,00003865.jpg,29.348674532822237,0.8116905
0.05,0.017499999999999998,00003963.jpg,25.69301109813242,0.7491758
0.05,0.017499999999999998,00003976.jpg,29.423772982012814,0.78116965
0.05,0.017499999999999998,00004041.jpg,26.252127231702367,0.7745018
0.05,0.017499999999999998,00004189.jpg,29.858329949650336,0.81465673
0.05,0.017499999999999998,00004207.jpg,29.427362176887236,0.81849813
0.05,0.017499999999999998,00004234.jpg,28.357382804862613,0.8291828
0.05,0.017499999999999998,00004239.jpg,29.58036151721085,0.8246854
0.05,0.017499999999999998,00004268.jpg,21.378312300242357,0.506131
0.05,0.017499999999999998,00004320.jpg,28.68374294762802,0.8137064
0.05,0.017499999999999998,00004340.jpg,32.12092391487184,0.856921
0.05,0.017499999999999998,00004410.jpg,28.03313420527133,0.79917437
0.05,0.017499999999999998,00004566.jpg,27.800443581497916,0.7784186
0.05,0.017499999999999998,00004575.jpg,29.770417897828153,0.8277652
0.05,0.017499999999999998,00004585.jpg,27.471248797311535,0.7653172
0.05,0.017499999999999998,00004668.jpg,27.274974906117663,0.7241948
0.05,0.017499999999999998,00004856.jpg,30.552076489806606,0.8605523
0.05,0.017499999999999998,00004905.jpg,29.39818021395871,0.8033855
0.05,0.017499999999999998,00004991.jpg,29.19652945090143,0.7954615
0.05,0.017499999999999998,00005011.jpg,28.747121753210997,0.7753748
0.05,0.017499999999999998,00005107.jpg,27.770262037033756,0.75080365
0.05,0.017499999999999998,00005317.jpg,27.180922968553993,0.7244728
0.05,0.017499999999999998,00005378.jpg,29.798067051074455,0.7843375
0.05,0.017499999999999998,00005487.jpg,27.152654458026117,0.7378389
0.05,0.017499999999999998,00005725.jpg,30.216616318115143,0.7490371
0.05,0.017499999999999998,00005736.jpg,29.390229368739934,0.8034602
0.05,0.017499999999999998,00005893.jpg,27.67590029281223,0.6830618
0.05,0.017499999999999998,00007472.jpg,28.256256562418912,0.7842283
0.05,0.017499999999999998,00007673.jpg,31.4686561251742,0.86089677
0.05,0.017499999999999998,00007911.jpg,30.42918051911024,0.8072998
0.05,0.017499999999999998,00007995.jpg,25.540919993268545,0.7343049
0.05,0.017499999999999998,00008036.jpg,29.336889516726412,0.82406837
0.05,0.017499999999999998,00008103.jpg,30.995515083878963,0.8200142
0.05,0.017499999999999998,00008115.jpg,30.142685695456596,0.80934596
0.05,0.017499999999999998,00008209.jpg,33.49861944646243,0.85841495
0.05,0.017499999999999998,00008215.jpg,30.022711319095055,0.8237042
0.05,0.017499999999999998,00008400.jpg,29.97608785521162,0.76329786
0.05,0.017499999999999998,00008553.jpg,29.460738104603514,0.7282941
0.05,0.017499999999999998,00008710.jpg,27.53557473439789,0.69411963
0.05,0.017499999999999998,00008747.jpg,29.672362705848908,0.8074119
0.05,0.017499999999999998,00008858.jpg,30.98467044246567,0.8166204
0.05,0.017499999999999998,00008919.jpg,27.773009300744445,0.7452884
0.05,0.017499999999999998,00008937.jpg,29.02973646766402,0.7865119
0.05,0.017499999999999998,00009231.jpg,27.94727056031027,0.78525645
0.05,0.017499999999999998,00009252.jpg,27.993798186249705,0.78677416
0.1,0.06999999999999999,00000700.jpg,27.52533106147262,0.7228189
0.1,0.06999999999999999,00000734.jpg,31.124445927617206,0.82240677
0.1,0.06999999999999999,00000815.jpg,29.08761106248678,0.7451591
0.1,0.06999999999999999,00000893.jpg,33.12529740097453,0.8375333
0.1,0.06999999999999999,00000895.jpg,23.854121665576816,0.7228296
0.1,0.06999999999999999,00000942.jpg,29.42488446046294,0.76768225
0.1,0.06999999999999999,00001300.jpg,22.946679127474354,0.61975807
0.1,0.06999999999999999,00001446.jpg,28.928450272088657,0.7543748
0.1,0.06999999999999999,00001484.jpg,25.771917573219802,0.6668362
0.1,0.06999999999999999,00001549.jpg,22.029625081225714,0.5211163
0.1,0.06999999999999999,00001618.jpg,29.645548863443377,0.7435985
0.1,0.06999999999999999,00001750.jpg,26.281667387713007,0.61101264
0.1,0.06999999999999999,00001917.jpg,31.25192577126699,0.80073446
0.1,0.06999999999999999,00001936.jpg,31.515412772718566,0.7801165
0.1,0.06999999999999999,00001953.jpg,30.664153407318537,0.77614164
0.1,0.06999999999999999,00001960.jpg,30.221132470269325,0.7655652
0.1,0.06999999999999999,00002025.jpg,29.399581035108845,0.7581679
0.1,0.06999999999999999,00002035.jpg,27.984492240459,0.68567276
0.1,0.06999999999999999,00002066.jpg,32.46529389426598,0.831492
0.1,0.06999999999999999,00002068.jpg,27.706328548606898,0.72014016
0.1,0.06999999999999999,00002083.jpg,29.1000597006325,0.76206714
0.1,0.06999999999999999,00002194.jpg,30.567452179468624,0.7704611
0.1,0.06999999999999999,00002258.jpg,26.34098030310409,0.6608532
0.1,0.06999999999999999,00002281.jpg,27.862908757626972,0.7016272
0.1,0.06999999999999999,00002371.jpg,31.218687408293682,0.8071577
0.1,0.06999999999999999,00002645.jpg,28.34778286122086,0.73277736
0.1,0.06999999999999999,00002754.jpg,24.870898420996582,0.6228203
0.1,0.06999999999999999,00002920.jpg,27.027506259756912,0.6365669
0.1,0.06999999999999999,00003030.jpg,16.559669604903192,0.3962361
0.1,0.06999999999999999,00003059.jpg,20.120810379697094,0.66149914
0.1,0.06999999999999999,00003071.jpg,16.5219578120813,0.3136846
0.1,0.06999999999999999,00003096.jpg,26.06411153601296,0.56062585
0.1,0.06999999999999999,00003148.jpg,22.724450973176356,0.52959377
0.1,0.06999999999999999,00003301.jpg,24.558086835951727,0.66023964
0.1,0.06999999999999999,00003534.jpg,27.561118270762886,0.7635625
